"","Borough","GSS_Code","MajorText","Date","count_by_borough"
"184","Barking and Dagenham","E09000002","Violence Against the Person",2012-02-01,294
"185","Barking and Dagenham","E09000002","Arson and Criminal Damage",2012-03-01,186
"186","Barking and Dagenham","E09000002","Burglary",2012-03-01,258
"187","Barking and Dagenham","E09000002","Drug Offences",2012-03-01,64
"188","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2012-03-01,77
"189","Barking and Dagenham","E09000002","Robbery",2012-03-01,78
"190","Barking and Dagenham","E09000002","Sexual Offences",2012-03-01,19
"191","Barking and Dagenham","E09000002","Theft and Handling",2012-03-01,561
"192","Barking and Dagenham","E09000002","Violence Against the Person",2012-03-01,339
"193","Barking and Dagenham","E09000002","Arson and Criminal Damage",2012-04-01,139
"194","Barking and Dagenham","E09000002","Burglary",2012-04-01,213
"195","Barking and Dagenham","E09000002","Drug Offences",2012-04-01,73
"196","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2012-04-01,74
"197","Barking and Dagenham","E09000002","Robbery",2012-04-01,68
"198","Barking and Dagenham","E09000002","Sexual Offences",2012-04-01,11
"199","Barking and Dagenham","E09000002","Theft and Handling",2012-04-01,462
"200","Barking and Dagenham","E09000002","Violence Against the Person",2012-04-01,286
"201","Barking and Dagenham","E09000002","Arson and Criminal Damage",2012-05-01,160
"202","Barking and Dagenham","E09000002","Burglary",2012-05-01,181
"203","Barking and Dagenham","E09000002","Drug Offences",2012-05-01,72
"204","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2012-05-01,93
"205","Barking and Dagenham","E09000002","Robbery",2012-05-01,51
"206","Barking and Dagenham","E09000002","Sexual Offences",2012-05-01,26
"207","Barking and Dagenham","E09000002","Theft and Handling",2012-05-01,486
"208","Barking and Dagenham","E09000002","Violence Against the Person",2012-05-01,365
"209","Barking and Dagenham","E09000002","Arson and Criminal Damage",2012-06-01,165
"210","Barking and Dagenham","E09000002","Burglary",2012-06-01,183
"211","Barking and Dagenham","E09000002","Drug Offences",2012-06-01,76
"212","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2012-06-01,82
"213","Barking and Dagenham","E09000002","Robbery",2012-06-01,49
"214","Barking and Dagenham","E09000002","Sexual Offences",2012-06-01,19
"215","Barking and Dagenham","E09000002","Theft and Handling",2012-06-01,443
"216","Barking and Dagenham","E09000002","Violence Against the Person",2012-06-01,327
"217","Barking and Dagenham","E09000002","Arson and Criminal Damage",2012-07-01,141
"218","Barking and Dagenham","E09000002","Burglary",2012-07-01,179
"219","Barking and Dagenham","E09000002","Drug Offences",2012-07-01,83
"220","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2012-07-01,75
"221","Barking and Dagenham","E09000002","Robbery",2012-07-01,50
"222","Barking and Dagenham","E09000002","Sexual Offences",2012-07-01,24
"223","Barking and Dagenham","E09000002","Theft and Handling",2012-07-01,510
"224","Barking and Dagenham","E09000002","Violence Against the Person",2012-07-01,328
"225","Barking and Dagenham","E09000002","Arson and Criminal Damage",2012-08-01,134
"226","Barking and Dagenham","E09000002","Burglary",2012-08-01,157
"227","Barking and Dagenham","E09000002","Drug Offences",2012-08-01,81
"228","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2012-08-01,102
"229","Barking and Dagenham","E09000002","Robbery",2012-08-01,73
"230","Barking and Dagenham","E09000002","Sexual Offences",2012-08-01,17
"231","Barking and Dagenham","E09000002","Theft and Handling",2012-08-01,461
"232","Barking and Dagenham","E09000002","Violence Against the Person",2012-08-01,311
"233","Barking and Dagenham","E09000002","Arson and Criminal Damage",2012-09-01,150
"234","Barking and Dagenham","E09000002","Burglary",2012-09-01,168
"235","Barking and Dagenham","E09000002","Drug Offences",2012-09-01,75
"236","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2012-09-01,79
"237","Barking and Dagenham","E09000002","Robbery",2012-09-01,46
"238","Barking and Dagenham","E09000002","Sexual Offences",2012-09-01,12
"239","Barking and Dagenham","E09000002","Theft and Handling",2012-09-01,416
"240","Barking and Dagenham","E09000002","Violence Against the Person",2012-09-01,306
"241","Barking and Dagenham","E09000002","Arson and Criminal Damage",2012-10-01,108
"242","Barking and Dagenham","E09000002","Burglary",2012-10-01,189
"243","Barking and Dagenham","E09000002","Drug Offences",2012-10-01,78
"244","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2012-10-01,95
"245","Barking and Dagenham","E09000002","Robbery",2012-10-01,56
"246","Barking and Dagenham","E09000002","Sexual Offences",2012-10-01,18
"247","Barking and Dagenham","E09000002","Theft and Handling",2012-10-01,511
"248","Barking and Dagenham","E09000002","Violence Against the Person",2012-10-01,323
"249","Barking and Dagenham","E09000002","Arson and Criminal Damage",2012-11-01,123
"250","Barking and Dagenham","E09000002","Burglary",2012-11-01,253
"251","Barking and Dagenham","E09000002","Drug Offences",2012-11-01,122
"252","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2012-11-01,89
"253","Barking and Dagenham","E09000002","Robbery",2012-11-01,46
"254","Barking and Dagenham","E09000002","Sexual Offences",2012-11-01,25
"255","Barking and Dagenham","E09000002","Theft and Handling",2012-11-01,535
"256","Barking and Dagenham","E09000002","Violence Against the Person",2012-11-01,290
"257","Barking and Dagenham","E09000002","Arson and Criminal Damage",2012-12-01,137
"258","Barking and Dagenham","E09000002","Burglary",2012-12-01,246
"259","Barking and Dagenham","E09000002","Drug Offences",2012-12-01,73
"260","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2012-12-01,82
"261","Barking and Dagenham","E09000002","Robbery",2012-12-01,49
"262","Barking and Dagenham","E09000002","Sexual Offences",2012-12-01,14
"263","Barking and Dagenham","E09000002","Theft and Handling",2012-12-01,453
"264","Barking and Dagenham","E09000002","Violence Against the Person",2012-12-01,278
"265","Barking and Dagenham","E09000002","Arson and Criminal Damage",2013-01-01,142
"266","Barking and Dagenham","E09000002","Burglary",2013-01-01,261
"267","Barking and Dagenham","E09000002","Drug Offences",2013-01-01,85
"268","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2013-01-01,72
"269","Barking and Dagenham","E09000002","Robbery",2013-01-01,66
"270","Barking and Dagenham","E09000002","Sexual Offences",2013-01-01,17
"271","Barking and Dagenham","E09000002","Theft and Handling",2013-01-01,544
"272","Barking and Dagenham","E09000002","Violence Against the Person",2013-01-01,330
"273","Barking and Dagenham","E09000002","Arson and Criminal Damage",2013-02-01,144
"274","Barking and Dagenham","E09000002","Burglary",2013-02-01,252
"275","Barking and Dagenham","E09000002","Drug Offences",2013-02-01,98
"276","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2013-02-01,38
"277","Barking and Dagenham","E09000002","Robbery",2013-02-01,49
"278","Barking and Dagenham","E09000002","Sexual Offences",2013-02-01,22
"279","Barking and Dagenham","E09000002","Theft and Handling",2013-02-01,558
"280","Barking and Dagenham","E09000002","Violence Against the Person",2013-02-01,285
"281","Barking and Dagenham","E09000002","Arson and Criminal Damage",2013-03-01,125
"282","Barking and Dagenham","E09000002","Burglary",2013-03-01,242
"283","Barking and Dagenham","E09000002","Drug Offences",2013-03-01,98
"284","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2013-03-01,35
"285","Barking and Dagenham","E09000002","Robbery",2013-03-01,47
"286","Barking and Dagenham","E09000002","Sexual Offences",2013-03-01,22
"287","Barking and Dagenham","E09000002","Theft and Handling",2013-03-01,530
"288","Barking and Dagenham","E09000002","Violence Against the Person",2013-03-01,312
"289","Barking and Dagenham","E09000002","Arson and Criminal Damage",2013-04-01,128
"290","Barking and Dagenham","E09000002","Burglary",2013-04-01,184
"291","Barking and Dagenham","E09000002","Drug Offences",2013-04-01,115
"292","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2013-04-01,29
"293","Barking and Dagenham","E09000002","Robbery",2013-04-01,39
"294","Barking and Dagenham","E09000002","Sexual Offences",2013-04-01,14
"295","Barking and Dagenham","E09000002","Theft and Handling",2013-04-01,502
"296","Barking and Dagenham","E09000002","Violence Against the Person",2013-04-01,295
"297","Barking and Dagenham","E09000002","Arson and Criminal Damage",2013-05-01,118
"298","Barking and Dagenham","E09000002","Burglary",2013-05-01,175
"299","Barking and Dagenham","E09000002","Drug Offences",2013-05-01,89
"300","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2013-05-01,26
"301","Barking and Dagenham","E09000002","Robbery",2013-05-01,46
"302","Barking and Dagenham","E09000002","Sexual Offences",2013-05-01,24
